
2024/11/16 (19:08:19) | ===> btop++ v.1.3.2
2024/11/16 (19:08:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/18 (08:39:21) | ===> btop++ v.1.3.2
2024/11/18 (08:39:21) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/20 (23:28:55) | ===> btop++ v.1.3.2
2024/11/20 (23:28:55) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/23 (11:41:29) | ===> btop++ v.1.3.2
2024/11/23 (11:41:29) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/23 (21:31:48) | ===> btop++ v.1.3.2
2024/11/23 (21:31:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/24 (21:38:57) | ===> btop++ v.1.3.2
2024/11/24 (21:38:57) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/26 (18:50:33) | ===> btop++ v.1.3.2
2024/11/26 (18:50:33) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/26 (18:56:02) | ===> btop++ v.1.3.2
2024/11/26 (18:56:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/27 (16:27:48) | ===> btop++ v.1.3.2
2024/11/27 (16:27:48) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/28 (16:56:27) | ===> btop++ v.1.3.2
2024/11/28 (16:56:27) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/11/30 (10:26:40) | ===> btop++ v.1.3.2
2024/11/30 (10:26:40) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/03 (22:01:34) | ===> btop++ v.1.3.2
2024/12/03 (22:01:34) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/10 (10:24:04) | ===> btop++ v.1.3.2
2024/12/10 (10:24:04) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/10 (10:25:39) | ===> btop++ v.1.3.2
2024/12/10 (10:25:39) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/10 (10:26:07) | ===> btop++ v.1.3.2
2024/12/10 (10:26:07) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/10 (10:26:28) | ===> btop++ v.1.3.2
2024/12/10 (10:26:28) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/14 (12:34:51) | ===> btop++ v.1.3.2
2024/12/14 (12:34:51) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/18 (10:25:10) | ===> btop++ v.1.3.2
2024/12/18 (10:25:10) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2024/12/22 (00:30:08) | ===> btop++ v.1.3.2
2024/12/22 (00:30:08) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/04/27 (15:35:52) | ===> btop++ v.1.4.0
2025/04/27 (15:35:52) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/08/10 (02:08:23) | ===> btop++ v.1.4.0
2025/08/10 (02:08:23) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
